0 0  -0 1
1 0.0600477  0.0599393 0.9963942739
2 -0.03712862688  -0.1410177236 0.9893106017
3 -0.04432364458  0.1602322559 0.9860836875
4 0.1006546746  -0.09828594692 0.9900548011
5 -0.07368654587  0.01837804448 0.9971121002
6 -0.009765591186  -0.002872862729 0.9999481886
7 0.06397924467  0.06807777912 0.9956264722
8 -0.03366789935  -0.1466061656 0.9886218209
9 -0.04918559703  0.1581636702 0.9861871174
10 0.0995475126  -0.09121269407 0.9908433464
11 -0.06525602093  0.01407598175 0.9977692712
12 -0.0193003094  -0.006356482181 0.9997935253
13 0.06721544854  0.07625624144 0.994820119
14 -0.02978436456  -0.1515633446 0.9879987066
15 -0.05376169449  0.1553693595 0.9863924383
16 0.09771674605  -0.08398181979 0.9916645055
17 -0.05638662321  0.01028727452 0.998356009
18 -0.02853947663  -0.01042414312 0.9995383112
19 0.0697479667  0.08440761129 0.9939872113
20 -0.02552984853  -0.1558514621 0.9874505297
21 -0.05799488471  0.1518763378 0.9866965954
22 0.09515850602  -0.07665884239 0.9925060607
23 -0.04713649636  0.007049199648 0.998863584
24 -0.03742122722  -0.01504336255 0.9991863435
25 0.07157470485  0.09246469934 0.9931401417
26 -0.02095923239  -0.1594378859 0.9869854463
27 -0.06183079305  0.147716922 0.9870950633
