0 0  0 1
1 -4.983416119e-14  -0.03141075908 0.9995065604
2 -1.992940534e-13  -0.06279051953 0.9980267284
3 -4.478896169e-13  -0.09410831332 0.9955619646
4 -7.951859311e-13  -0.1253332336 0.9921147013
5 -1.240497058e-12  -0.156434465 0.9876883406
6 -1.783608567e-12  -0.1873813146 0.9822872507
7 -2.42222528e-12  -0.2181432414 0.9759167619
8 -3.1556385e-12  -0.2486898872 0.9685831611
9 -3.982394328e-12  -0.278991106 0.9602936857
10 -4.900851582e-12  -0.3090169944 0.9510565163
11 -5.911591113e-12  -0.3387379202 0.940880769
12 -7.007999801e-12  -0.3681245527 0.9297764859
13 -8.190085815e-12  -0.3971478906 0.9177546257
14 -9.455485723e-12  -0.4257792916 0.9048270525
15 -1.08016637e-11  -0.4539904997 0.8910065242
16 -1.222591531e-11  -0.4817536741 0.87630668
17 -1.372537151e-11  -0.5090414158 0.860742027
18 -1.529700296e-11  -0.535826795 0.8443279255
19 -1.693762451e-11  -0.5620833779 0.8270805743
20 -1.864389997e-11  -0.5877852523 0.8090169944
21 -2.041234712e-11  -0.6129070537 0.7901550124
22 -2.22487496e-11  -0.6374239897 0.7705132428
23 -2.414095166e-11  -0.6613118653 0.7501110696
24 -2.60850183e-11  -0.6845471059 0.7289686274
25 -2.807688834e-11  -0.7071067812 0.7071067812
26 -3.011238054e-11  -0.7289686274 0.6845471059
27 -3.218719984e-11  -0.7501110696 0.6613118653
28 -3.429694394e-11  -0.7705132428 0.6374239897
29 -3.643710993e-11  -0.7901550124 0.6129070537
30 -3.860310113e-11  -0.8090169944 0.5877852523
31 -4.079023406e-11  -0.8270805743 0.5620833779
32 -4.299374561e-11  -0.8443279255 0.535826795
33 -4.520880026e-11  -0.860742027 0.5090414158
34 -4.743049755e-11  -0.87630668 0.4817536741
35 -4.965387951e-11  -0.8910065242 0.4539904997
36 -5.187393837e-11  -0.9048270525 0.4257792916
37 -5.408562421e-11  -0.9177546257 0.3971478906
38 -5.628385278e-11  -0.9297764859 0.3681245527
39 -5.846351341e-11  -0.940880769 0.3387379202
40 -6.061947693e-11  -0.9510565163 0.3090169944
41 -6.274660369e-11  -0.9602936857 0.278991106
42 -6.483975158e-11  -0.9685831611 0.2486898872
43 -6.689378411e-11  -0.9759167619 0.2181432414
44 -6.890357854e-11  -0.9822872507 0.1873813146
45 -7.086403397e-11  -0.9876883406 0.156434465
46 -7.277007944e-11  -0.9921147013 0.1253332336
47 -7.461668204e-11  -0.9955619646 0.09410831332
48 -7.6398855e-11  -0.9980267284 0.06279051953
49 -7.811166571e-11  -0.9995065604 0.03141075908
50 -7.975024374e-11  -1 4.003330057e-13
51 -8.130978878e-11  -0.9995065604 -0.03141075908
52 -8.278557851e-11  -0.9980267284 -0.06279051953
53 -8.41729764e-11  -0.9955619646 -0.09410831332
54 -8.546743945e-11  -0.9921147013 -0.1253332336
55 -8.666452578e-11  -0.9876883406 -0.156434465
56 -8.775990214e-11  -0.9822872507 -0.1873813146
57 -8.874935129e-11  -0.9759167619 -0.2181432414
58 -8.96287793e-11  -0.9685831611 -0.2486898872
59 -9.039422261e-11  -0.9602936857 -0.278991106
60 -9.104185502e-11  -0.9510565163 -0.3090169944
61 -9.156799451e-11  -0.940880769 -0.3387379202
62 -9.196910987e-11  -0.9297764859 -0.3681245527
63 -9.224182712e-11  -0.9177546257 -0.3971478906
64 -9.238293584e-11  -0.9048270525 -0.4257792916
65 -9.238939521e-11  -0.8910065242 -0.4539904997
66 -9.225833986e-11  -0.87630668 -0.4817536741
67 -9.198708554e-11  -0.860742027 -0.5090414157
68 -9.157313456e-11  -0.8443279255 -0.535826795
69 -9.101418094e-11  -0.8270805743 -0.5620833779
70 -9.03081154e-11  -0.8090169944 -0.5877852523
71 -8.945303006e-11  -0.7901550124 -0.6129070537
72 -8.844722288e-11  -0.7705132428 -0.6374239897
73 -8.728920187e-11  -0.7501110696 -0.6613118653
74 -8.597768902e-11  -0.7289686274 -0.6845471059
75 -8.45116239e-11  -0.7071067812 -0.7071067812
76 -8.289016712e-11  -0.6845471059 -0.7289686274
77 -8.111270331e-11  -0.6613118653 -0.7501110696
78 -7.9178844e-11  -0.6374239897 -0.7705132428
79 -7.708843007e-11  -0.6129070537 -0.7901550124
80 -7.484153398e-11  -0.5877852523 -0.8090169944
81 -7.243846161e-11  -0.5620833779 -0.8270805743
82 -6.987975391e-11  -0.535826795 -0.8443279255
83 -6.716618813e-11  -0.5090414158 -0.860742027
84 -6.429877879e-11  -0.4817536741 -0.87630668
85 -6.127877831e-11  -0.4539904997 -0.8910065242
86 -5.810767737e-11  -0.4257792916 -0.9048270525
87 -5.478720485e-11  -0.3971478906 -0.9177546257
88 -5.131932754e-11  -0.3681245527 -0.9297764859
89 -4.770624951e-11  -0.3387379202 -0.940880769
90 -4.395041108e-11  -0.3090169944 -0.9510565163
91 -4.00544876e-11  -0.278991106 -0.9602936857
92 -3.602138774e-11  -0.2486898872 -0.9685831611
93 -3.185425161e-11  -0.2181432414 -0.9759167619
94 -2.755644848e-11  -0.1873813146 -0.9822872507
95 -2.313157416e-11  -0.156434465 -0.9876883406
96 -1.85834481e-11  -0.1253332336 -0.9921147013
97 -1.391611018e-11  -0.09410831332 -0.9955619646
98 -9.133817143e-12  -0.06279051953 -0.9980267284
99 -4.241038752e-12  -0.03141075908 -0.9995065604
100 7.575463812e-13  -8.030659471e-13 -1
