0 0.938676  0 0.3448
1 0.9425549344  0.01991895626 0.3334567899
2 0.9535329617  0.04686468026 0.2976215595
3 0.9643011531  0.08372891 0.2512225223
4 0.9688276831  0.1276882039 0.212293766
5 0.9650329575  0.1740941306 0.1959658763
6 0.9531151746  0.2192344184 0.2085850753
7 0.9340464988  0.2596367414 0.2452466117
8 0.9109840963  0.2915792165 0.2917011086
9 0.8902930666  0.3139250154 0.3298929225
10 0.8782264428  0.3312228331 0.3449778978
11 0.8755405543  0.3518610932 0.3310929006
12 0.8763311515  0.3818669878 0.2936346649
13 0.8728360527  0.4207945583 0.2471622236
14 0.8608251817  0.4636700294 0.2097381947
15 0.8402644842  0.5055447837 0.1959083159
16 0.8126969327  0.5431228961 0.2110478981
17 0.7803670248  0.5734897436 0.249272583
18 0.7477883879  0.5944400656 0.2957254391
19 0.7213519696  0.6076132344 0.3323514605
20 0.7048611938  0.6198421485 0.3449150742
21 0.6954470765  0.639076947 0.3285331333
22 0.6852420627  0.6682745466 0.2895728682
23 0.6674698429  0.7038102737 0.2431771113
24 0.6403790603  0.7395327878 0.2073786754
25 0.6058631271  0.771023998 0.1960914728
26 0.5665336181  0.7958460169 0.2137025429
27 0.5256396768  0.8121010599 0.253366925
28 0.4883450753  0.8195841069 0.299668115
29 0.4598815448  0.8225236017 0.3346100558
30 0.4408304515  0.8288011023 0.3446117321
31 0.4252148256  0.844426429 0.3257857549
32 0.4046921796  0.8687594282 0.2854492874
33 0.3746921642  0.8957403848 0.2392800557
34 0.3361447872  0.9191791299 0.2052228282
35 0.2924446504  0.935872896 0.1965147552
36 0.2468706307  0.9445449334 0.2165404361
37 0.2032421567  0.9446575687 0.2575164145
38 0.1664991953  0.9381661958 0.3035164031
39 0.1396942731  0.9312059936 0.3366614138
40 0.1200087704  0.9312435346 0.3440688511
41 0.09946833606  0.9412054526 0.3228596385
42 0.07081884353  0.9570098252 0.2812772402
43 0.03247555445  0.9713355714 0.2354836429
44 -0.01223448269  0.9790447019 0.2032776158
45 -0.05905414904  0.9785877163 0.1971767962
46 -0.1045053363  0.9699873055 0.2195524126
47 -0.1447524368  0.9542304951 0.2617076502
48 -0.175973824  0.9352143132 0.3072578747
49 -0.1979489482  0.9199101598 0.3384989096
50 -0.2164317054  0.9139532478 0.3432881847
51 -0.239898944  0.9166238766 0.3197642344
52 -0.2731751783  0.9211989068 0.2770702007
53 -0.3146525999  0.9204685977 0.2318001339
54 -0.3593016428  0.9111971251 0.2015493205
55 -0.4027316531  0.8936293016 0.1980754577
56 -0.441741002  0.8690551153 0.2227287447
57 -0.473079396  0.8399277735 0.265927096
58 -0.4947948609  0.8114994724 0.3108804464
59 -0.5096435765  0.790306344 0.3401166087
60 -0.5252825006  0.779055838 0.3422722539
61 -0.5490958775  0.7735085189 0.3165095395
62 -0.5826104339  0.7655863494 0.2728417561
63 -0.621412285  0.7495015837 0.228241425
64 -0.6597273132  0.7243910965 0.2000435241
65 -0.6937259815  0.6921419654 0.1992078372
66 -0.7209119853  0.6551207211 0.226059174
67 -0.7391787614  0.6169503428 0.2701611247
68 -0.748901885  0.5833660506 0.3143724186
69 -0.7554021025  0.5592307849 0.3415092865
70 -0.7668262907  0.5437645073 0.34102434
71 -0.7880751237  0.5300020673 0.3131060652
72 -0.8171399176  0.5100327507 0.2686055626
73 -0.847689495  0.4804986296 0.2248190095
74 -0.8742411736  0.4429388327 0.1987650896
75 -0.8940809197  0.4004882929 0.2005702777
76 -0.9057531353  0.3562665929 0.2295329446
77 -0.9087144099  0.3145551184 0.274396062
78 -0.9057262734  0.2805571635 0.3177225136
79 -0.9037617514  0.2564961833 0.3426724452
80 -0.9099275548  0.2381988233 0.3395484732
81 -0.9257196626  0.2172849252 0.3095648036
82 -0.9460219867  0.1874782672 0.2643753016
83 -0.9637954406  0.148380023 0.2215439405
84 -0.9747751743  0.1035417513 0.197718146
85 -0.977704738  0.05679291433 0.202158379
86 -0.9723744265  0.01158693534 0.2331388375
87 -0.9599995084  -0.02779973916 0.2786182305
88 -0.9453487551  -0.05767270951 0.3209199118
89 -0.9357909586  -0.07894758891 0.3436023282
90 -0.9360370464  -0.09845007474 0.33784942
91 -0.9439025565  -0.1243980391 0.3058971915
92 -0.9521656037  -0.1602966806 0.2601646351
