0 1  0 -0.000302
1 0.9987862535  0.03768820435 -0.03171149756
2 0.9970549423  0.07585789152 -0.01127041875
3 0.9935626008  0.1131323248 -0.00586817345
4 0.9880184955  0.1507261459 -0.03318254684
5 0.9821288321  0.1881708481 -0.003832624425
6 0.9743099367  0.2247844315 -0.01386025452
7 0.9646339417  0.2618282545 -0.03045198996
8 0.9545389257  0.2980855072 0.0006853600806
9 0.942465536  0.333556112 -0.02233905805
10 0.9289120217  0.3695100393 -0.02418236466
11 0.9146750563  0.404188238 0.001187298575
12 0.8984519905  0.4380965832 -0.02924730136
13 0.8812607666  0.4723630094 -0.01589492231
14 0.8630653965  0.5050862557 -0.002448598457
15 0.8428840461  0.5370879789 -0.03290877987
16 0.8222451  0.5690827952 -0.00760051404
17 0.8003550833  0.5994535034 -0.009340123053
18 0.7765331677  0.6292409754 -0.03243507858
19 0.7526081908  0.6584673041 -0.001311681171
20 0.7273112245  0.6860765293 -0.01781512723
21 0.7002828898  0.7133184192 -0.02794113556
22 0.6732656602  0.7393992567 0.00144566443
23 0.6448445695  0.7638775758 -0.02581725019
24 0.6150998628  0.7881822105 -0.02051735363
25 0.5852711084  0.8108376716 2.485045969e-06
26 0.5540241759  0.8319080157 -0.03140487021
27 0.5220331459  0.8528412705 -0.01196502678
28 0.4897711303  0.8718349871 -0.005291048695
29 0.4560648631  0.8893262196 -0.03322221655
30 0.4222329915  0.9064768599 -0.004359277283
31 0.3879743657  0.9215763426 -0.01315052264
32 0.3522856677  0.9353846387 -0.03082833132
33 0.316965597  0.9484369266 0.0004544485629
34 0.2811475724  0.9594198769 -0.0216689272
35 0.2440575354  0.9694434887 -0.02480406284
36 0.2076027599  0.9782123403 0.001308156382
37 0.1706306987  0.9849146727 -0.02877937096
38 0.1327655473  0.9910082643 -0.01661112951
39 0.0955832211  0.9954194225 -0.002005296062
40 0.05784784772  0.9977878695 -0.03275658778
41 0.01979993232  0.9997700271 -0.00823745094
42 -0.01763733346  0.9998067555 -0.008681938219
43 -0.05570705499  0.9979136459 -0.03263555242
44 -0.09343100431  0.99562428 -0.00171480247
45 -0.1306228463  0.991284622 -0.01710176083
46 -0.1685134761  0.9852888177 -0.0284456327
47 -0.2054887744  0.978658508 0.001374171408
48 -0.2419655452  0.9699569764 -0.02522179224
49 -0.2790794365  0.9600338959 -0.02120346373
50 -0.3149152662  0.9491197484 0.0002799672493
51 -0.3502730152  0.9361321263 -0.03107180164
52 -0.3859831549  0.9224188689 -0.01266627324
53 -0.4202708854  0.907386352 -0.004731919084
54 -0.4541561692  0.890302075 -0.03323235255
55 -0.4878853709  0.872893923 -0.004905510827
56 -0.5201846265  0.8539631527 -0.01244541189
57 -0.5522402446  0.8331017759 -0.03117921252
58 -0.5835173768  0.8121006297 0.0001957651225
59 -0.6133912584  0.7895002402 -0.0209889222
60 -0.6432042762  0.7652728683 -0.02541055201
61 -0.6716666509  0.7408521787 0.001399789561
62 -0.698739744  0.7148163934 -0.02828946699
63 -0.7258335911  0.6876520962 -0.01732606913
64 -0.7511826591  0.6600924924 -0.001585579984
65 -0.7751775499  0.630902998 -0.03257565431
66 -0.7990599193  0.6011857118 -0.008887369263
67 -0.8210094602  0.5708580291 -0.008035978449
68 -0.841732643  0.5388968605 -0.03280749085
69 -0.8619719434  0.5069514579 -0.002142004403
70 -0.8802309086  0.4742626245 -0.01638629196
71 -0.8975161889  0.4400316121 -0.02892872418
72 -0.9137995298  0.4061635114 0.001273341425
73 -0.9281037536  0.3715074023 -0.02461041444
74 -0.9417533137  0.335591925 -0.02188049174
75 -0.9538926464  0.3001475276 0.0005299744346
76 -0.9640614876  0.2638980268 -0.03071285859
77 -0.9738281207  0.2268919461 -0.01337296485
78 -0.9817181912  0.1902940422 -0.004191736055
79 -0.9876919304  0.1528448607 -0.0332129376
80 -0.9933178292  0.1152812431 -0.005470395561
81 -0.9968830999  0.0780135482 -0.01174612212
82 -0.9987095856  0.0398328936 -0.03150403647
83 -0.9999976603  0.002161296403 -9.02500541e-05
84 -0.9991710776  -0.03528540011 -0.02030020019
85 -0.9969465894  -0.07363053868 -0.02600080012
86 -0.9938179764  -0.111012126 0.001462042185
87 -0.9885685189  -0.1481912365 -0.0277784231
88 -0.9823715392  -0.1860665758 -0.0180385246
89 -0.974873739  -0.2227549695 -0.001190164431
90 -0.9652613076  -0.259274047 -0.03236628736
91 -0.9551241597  -0.2960517741 -0.009549163079
92 -0.9433900908  -0.3316026646 -0.007403342934
93 -0.9296038072  -0.3670844855 -0.0329506013
94 -0.9155411466  -0.4022159713 -0.002592560026
95 -0.8997341426  -0.4361569967 -0.0156699381
96 -0.8820802065  -0.470181626 -0.02938958794
97 -0.8641537526  -0.5032265739 0.001143346057
98 -0.8444419407  -0.5351098663 -0.02398415714
99 -0.8232827338  -0.567183533 -0.02254728561
100 -0.8016569338  -0.5977839031 0.0007520811792
101 -0.7782365726  -0.6272383996 -0.03032865188
