0 0.96  -0 0.28
1 0.959988  0.00479987 0.2799999931
31 0.9484934674  0.1482027803 0.2799929967
61 0.9156979293  0.288281946 0.2799836101
91 0.8623332412  0.4218873591 0.279986495
121 0.7896016484  0.5460135854 0.2799971453
151 0.6991417462  0.6578764477 0.2799989253
181 0.5929820151  0.7549691775 0.2799890548
211 0.4735009414  0.835108619 0.2799829513
241 0.3433840693  0.8964892067 0.2799901484
271 0.2055594951  0.9377343054 0.2799994043
301 0.06312104656  0.9579237063 0.2799962614
331 -0.08073856783  0.9566030166 0.2799856289
361 -0.2227880265  0.9337956901 0.2799841146
391 -0.359830976  0.8900140346 0.2799940839
421 -0.4887893904  0.8262475123 0.2799999648
451 -0.6067733232  0.7439289577 0.2799925715
481 -0.7111343207  0.6449009571 0.2799834521
511 -0.7995226499  0.5313858255 0.2799868511
541 -0.8699512381  0.4059387469 0.2799974592
571 -0.9208441293  0.2713794645 0.2799987068
601 -0.9510612495  0.1307243602 0.2799886451
631 -0.9599186748  -0.01287100963 0.2799829904
661 -0.9472138647  -0.1561767339 0.2799905752
691 -0.9132369418  -0.2959705036 0.2799995522
721 -0.8587552554  -0.4291173588 0.2799958994
751 -0.7849881553  -0.5526317175 0.2799853224
781 -0.6935873978  -0.6637358584 0.2799843424
811 -0.5866091456  -0.7599294677 0.2799944901
841 -0.4664612887  -0.8390553699 0.2799999149
871 -0.3358393525  -0.8993421646 0.2799921434
901 -0.1976710476  -0.9394336062 0.2799833145
931 -0.05506125598  -0.9584234009 0.2799872189
961 0.08878126635  -0.955886574 0.2799977579
991 0.2306271902  -0.9318862356 0.2799984698
1021 0.3672971602  -0.8869607546 0.2799882426
1051 0.4957216765  -0.8221128333 0.279983051
1081 0.6130103766  -0.7387985623 0.2799910043
1111 0.7165285155  -0.6388951916 0.2799996795
1141 0.8039574257  -0.5246474655 0.2799955261
1171 0.8733352025  -0.3986151102 0.2799850316
1201 0.923097865  -0.2636265577 0.2799845883
1231 0.9521254551  -0.1227191104 0.2799948886
1261 0.9597716425  0.02093995738 0.2799998436
1291 0.9458678939  0.1641297278 0.2799917136
1321 0.910721341  0.3036380215 0.2799831976
1351 0.8551173923  0.436326931 0.2799875975
1381 0.7803093562  0.5592123084 0.2799980406
1411 0.687981813  0.6695386655 0.279998215
1441 0.5802043206  0.7648331525 0.2799878483
1471 0.4593922218  0.8429520934 0.2799831331
1501 0.3282618927  0.9021357583 0.2799914345
1531 0.1897637976  0.9410578202 0.2799997859
1561 0.04700589487  0.9588499184 0.2799951424
1591 -0.09681168176  0.9551104826 0.2799847572
1621 -0.2384575238  0.9299174652 0.2799848518
1651 -0.3747444475  0.8838377923 0.2799952784
1681 -0.5026124515  0.8179125034 0.2799997509
1711 -0.6191961201  0.7336218686 0.2799912832
1741 -0.7218774069  0.6328526465 0.2799831018
1771 -0.8083441116  0.5178672851 0.2799879859
1801 -0.8766533301  0.3912542487 0.2799983066
1831 -0.925277036  0.2558584735 0.2799979431
1861 -0.9531251504  0.1147147249 0.2799874632
1891 -0.9595664825  -0.0290095321 0.2799832364
1921 -0.9444536515  -0.172080957 0.2799918649
1951 -0.9081314556  -0.311283362 0.2799998711
1981 -0.8514190994  -0.4434957244 0.2799947494
2011 -0.7755853161  -0.5657526821 0.2799844998
2041 -0.6823289896  -0.6753039877 0.279985132
2071 -0.5737487679  -0.7696848592 0.2799956586
2101 -0.4522879188  -0.846779689 0.2799996371
2131 -0.3206705564  -0.9048621532 0.2799908532
2161 -0.1818472187  -0.9426245772 0.2799830272
2191 -0.03893846305  -0.9592133763 0.2799883832
