0 0  -0 1
1 2.22205e-05  -2.3004e-07 0.9999999998
1001 0.000143918699  0.0008197987405 0.9999996536
2001 -0.0002063764053  -0.0007533481161 0.9999996949
3001 0.0005265670248  0.0001255366805 0.9999998535
4001 -0.00126051421  -0.0005730996879 0.9999990413
5001 0.001738763196  0.0004618527769 0.9999983817
6001 -0.001364827633  0.0002275073083 0.9999990427
7001 0.001330289238  -0.0002936986455 0.999999072
8001 -0.0008809215156  0.0008218321412 0.9999992743
9001 0.0009485008142  -0.0008314349316 0.9999992045
10001 -0.000731257215  0.0003846909921 0.9999996586
11001 0.001108292501  -0.0006887705151 0.9999991486
12001 -0.001115286132  0.0006695012225 0.999999154
13001 0.000532801115  -0.0005224517393 0.9999997216
14001 -0.001051273026  -3.371263972e-05 0.9999994468
15001 0.0007316880216  -0.0002475386019 0.9999997017
16001 0.0002189374193  0.0001084541589 0.9999999702
17001 -0.0002941126123  7.622803887e-05 0.9999999538
18001 0.0004876468321  2.912245372e-05 0.9999998807
19001 -0.001002866797  3.669766887e-05 0.9999994965
20001 0.001265538574  -0.000414409232 0.9999991133
21001 -0.001569305281  0.0006907184564 0.9999985301
22001 0.00122995923  -0.001154321832 0.9999985774
23001 -0.001501068613  0.001428077918 0.9999978537
24001 0.001487437608  -0.0009944972493 0.9999983993
25001 -0.001767929887  0.0006868340964 0.9999982013
26001 0.002020802978  -0.00090927471 0.9999975448
27001 -0.001893031967  0.0007978646295 0.9999978899
28001 0.001768811986  -0.0004830503447 0.999998319
29001 -0.001389560985  0.0005733884169 0.9999988702
30001 0.0007008486186  -0.0008049947615 0.9999994304
31001 -0.0006760506668  0.0004435115521 0.9999996731
32001 0.0005214857668  -0.0004105598374 0.9999997797
33001 -0.001039520375  0.0002053440713 0.9999994386
34001 0.0006979668337  2.167159217e-05 0.9999997562
35001 2.422300209e-05  0.0006880122502 0.999999763
36001 -0.0004552841307  -0.001035801292 0.9999993599
37001 0.0003844953737  0.0009677598192 0.9999994578
38001 -0.001089471493  -0.001207363934 0.9999986777
39001 0.001250815068  0.00154031407 0.9999980314
40001 -0.001155330527  -0.001533164163 0.9999981573
41001 0.001446012363  0.001537229014 0.999997773
42001 -0.001469485087  -0.00104206784 0.9999983774
43001 0.002354209861  0.0006381451433 0.9999970252
44001 -0.002092443019  -0.0004876988547 0.9999976919
45001 0.002588988194  -0.0001463703078 0.9999966379
46001 -0.002952898516  0.000443956906 0.9999955416
47001 0.003280517661  -0.0007273743704 0.9999943545
48001 -0.004068957014  0.001731316156 0.999990223
49001 0.004099689999  -0.002018502883 0.999989559
50001 -0.004590271149  0.002791051711 0.9999855696
51001 0.004603631643  -0.003130723683 0.9999845025
52001 -0.004534915956  0.003400127546 0.9999839367
53001 0.004385998964  -0.0033310612 0.9999848334
54001 -0.003989276417  0.003922027678 0.9999843516
55001 0.003588554018  -0.003737376461 0.9999865771
56001 -0.003047219329  0.003741415537 0.9999883581
57001 0.002325151106  -0.003606805916 0.9999907923
58001 -0.001614559836  0.00316677455 0.9999936823
59001 0.001296203268  -0.003366866694 0.999993492
60001 -0.001086098202  0.003349763083 0.9999937997
61001 0.001299170861  -0.004042210173 0.9999909863
62001 -0.001281852289  0.004684309053 0.999988207
63001 0.0009874016835  -0.004608969481 0.9999888912
64001 -0.0008951163436  0.005636373559 0.9999837149
65001 0.0009850100716  -0.005981867838 0.9999816233
66001 0.0001951100049  0.005547067561 0.9999845959
67001 0.0002499907463  -0.005266323917 0.9999861016
68001 0.0004484253841  0.005087789781 0.9999869566
69001 -0.001032162966  -0.005535240484 0.9999841477
70001 0.001339089975  0.005604251651 0.9999833995
71001 -0.001009283647  -0.005887282593 0.9999821605
72001 0.0007629347766  0.00610443317 0.9999810767
73001 -0.001389272412  -0.005849195891 0.9999819282
74001 0.001853469795  0.006066260271 0.9999798824
75001 -0.001515150864  -0.005810902034 0.9999819687
76001 0.001606889628  0.006287955952 0.9999789395
77001 -0.001616539306  -0.005923341762 0.9999811502
78001 0.001965816276  0.006400281585 0.9999775857
79001 -0.001842721888  -0.00609163003 0.999979748
80001 0.002494341192  0.006228568325 0.9999774913
81001 -0.002781019047  -0.005272552578 0.9999822329
82001 0.003363104696  0.005810407168 0.9999774641
83001 -0.003532988143  -0.00552269695 0.9999785087
84001 0.003714394006  0.004788189748 0.9999816381
85001 -0.003994276219  -0.004507492152 0.999981864
86001 0.004150095534  0.004453475896 0.9999814715
87001 -0.004523924429  -0.003597325604 0.9999832965
88001 0.004667574947  0.003417479226 0.9999832671
89001 -0.004726277165  -0.00256384614 0.9999855444
90001 0.004004076388  0.002488054924 0.9999888884
91001 -0.004119975327  -0.002511415795 0.9999883592
92001 0.003989051637  0.003200631985 0.9999869216
93001 -0.003934228973  -0.003308537028 0.9999867876
94001 0.004567695261  0.003115310645 0.9999847154
95001 -0.004523873788  -0.002945937443 0.9999854279
96001 0.004827467253  0.002713899623 0.999984665
97001 -0.004926078486  -0.002167804983 0.9999855171
98001 0.005490648732  0.001966274208 0.9999829931
99001 -0.004823964702  -0.001620521941 0.9999870516
100001 0.004490539273  0.0009955425508 0.9999894219
101001 -0.00527522974  -0.0006374149495 0.9999858827
102001 0.005727674549  0.0004079854549 0.9999835135
103001 -0.005812085743  0.0004504958496 0.9999830082
104001 0.006175411795  -0.0006348465736 0.9999807304
105001 -0.006194902467  0.0005112695058 0.9999806807
106001 0.005878131331  -0.001293006207 0.9999818877
107001 -0.005864658466  0.0009307506663 0.9999823696
108001 0.005508703284  -0.001777809825 0.9999832466
109001 -0.005799343045  0.002031440625 0.9999811203
110001 0.005246740811  -0.001659266805 0.9999848592
111001 -0.004625092058  0.001801189541 0.999987682
112001 0.00458572702  -0.002337535033 0.9999867534
113001 -0.004707164  0.002551351227 0.9999856665
114001 0.004485652753  -0.003693896092 0.9999831169
115001 -0.004284264497  0.003779660664 0.9999836795
116001 0.004439039386  -0.003766370857 0.9999830545
